enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,company_size,company_type,last_new_job,training_hours,target,experience_cleaned,experience_ratio,training_per_experience,has_relevant_exp,exp_category,training_hours_capped
31972,city_159,0.843,male,has relevent experience,no_enrollment,masters,stem,100-500,pvt ltd,1,68,0.0,11.0,11.66489925768823,5.666666666666667,1,expert,68
19061,city_114,0.926,male,has relevent experience,no_enrollment,masters,stem,100-500,pvt ltd,2,50,0.0,11.0,10.721247563352826,4.166666666666667,1,expert,50
6491,city_102,0.804,,has relevent experience,no_enrollment,masters,stem,,,1,48,0.0,10.0,11.061946902654867,4.363636363636363,1,senior,48
7041,city_40,0.7759999999999999,male,has relevent experience,no_enrollment,graduate,humanities,1000-4999,pvt ltd,1,65,0.0,0.0,0.0,65.0,1,junior,65
22767,city_21,0.624,,has relevent experience,no_enrollment,graduate,stem,1000-4999,pvt ltd,1,13,0.0,5.0,6.906077348066298,2.1666666666666665,1,mid,13
14505,city_67,0.855,,no relevent experience,no_enrollment,high school,,,,never,22,0.0,4.0,4.18848167539267,4.4,0,mid,22
17139,city_21,0.624,,has relevent experience,part time course,graduate,stem,500-999,pvt ltd,1,148,1.0,14.0,19.337016574585636,9.866666666666667,1,expert,148
28476,city_103,0.92,male,has relevent experience,no_enrollment,graduate,arts,,,2,72,0.0,5.0,4.901960784313726,12.0,1,mid,72
21538,city_100,0.887,male,has relevent experience,no_enrollment,high school,,<10,pvt ltd,1,8,1.0,11.0,11.144883485309018,0.6666666666666666,1,expert,8
10408,city_21,0.624,male,has relevent experience,no_enrollment,graduate,stem,50-99,funded startup,2,68,1.0,18.0,24.861878453038674,3.5789473684210527,1,expert,68
14928,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,3,40,0.0,21.0,20.588235294117645,1.8181818181818181,1,expert,40
22293,city_103,0.92,male,has relevent experience,part time course,graduate,stem,5000-9999,pvt ltd,>4,141,0.0,19.0,18.627450980392158,7.05,1,expert,141
4324,city_103,0.92,female,no relevent experience,full time course,graduate,stem,,,1,24,0.0,5.0,4.901960784313726,4.0,0,mid,24
26966,city_160,0.92,female,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,>4,82,0.0,21.0,20.588235294117645,3.727272727272727,1,expert,82
26494,city_16,0.91,male,has relevent experience,no_enrollment,graduate,business degree,5000-9999,pvt ltd,3,145,0.0,12.0,11.881188118811881,11.153846153846153,1,expert,145
4866,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,10/49,early stage startup,2,206,0.0,10.0,9.803921568627452,18.727272727272727,1,senior,206
12726,city_114,0.926,male,no relevent experience,part time course,high school,,10000+,other,1,152,0.0,1.0,0.9746588693957114,76.0,0,junior,152
10164,city_114,0.926,male,has relevent experience,no_enrollment,phd,stem,100-500,pvt ltd,4,42,1.0,21.0,20.46783625730994,1.9090909090909092,1,expert,42
8612,city_103,0.92,,no relevent experience,no_enrollment,graduate,stem,,,4,50,0.0,12.0,11.76470588235294,3.8461538461538463,0,expert,50
24659,city_71,0.884,male,no relevent experience,no_enrollment,,,,,never,106,0.0,3.0,3.048780487804878,26.5,0,mid,106
2547,city_114,0.926,female,has relevent experience,full time course,masters,stem,1000-4999,public sector,2,14,0.0,16.0,15.594541910331383,0.8235294117647058,1,expert,14
13854,city_104,0.924,male,has relevent experience,no_enrollment,high school,,10/49,pvt ltd,2,36,0.0,4.0,3.90625,7.2,1,mid,36
31654,city_21,0.624,,has relevent experience,no_enrollment,masters,stem,50-99,early stage startup,1,112,1.0,6.0,8.287292817679559,16.0,1,senior,112
13643,city_64,0.6659999999999999,,no relevent experience,no_enrollment,graduate,no major,50-99,pvt ltd,never,108,0.0,9.0,11.749347258485642,10.8,0,senior,108
5590,city_21,0.624,male,has relevent experience,part time course,masters,stem,5000-9999,pvt ltd,3,7,1.0,9.0,12.430939226519337,0.7,1,senior,7
22452,city_21,0.624,female,no relevent experience,full time course,masters,stem,,,never,26,1.0,5.0,6.906077348066298,4.333333333333333,0,mid,26
9006,city_21,0.624,male,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,never,87,1.0,5.0,6.906077348066298,14.5,1,mid,87
25987,city_103,0.92,other,has relevent experience,no_enrollment,graduate,stem,10000+,public sector,4,52,1.0,19.0,18.627450980392158,2.6,1,expert,52
4476,city_101,0.5579999999999999,male,has relevent experience,no_enrollment,graduate,no major,,,>4,20,1.0,15.0,22.79635258358663,1.25,1,expert,20
25103,city_83,0.923,male,has relevent experience,no_enrollment,graduate,stem,10/49,pvt ltd,1,21,0.0,11.0,10.75268817204301,1.75,1,expert,21
5568,city_101,0.5579999999999999,male,no relevent experience,no_enrollment,graduate,stem,,,1,92,1.0,4.0,6.079027355623101,18.4,0,mid,92
2195,city_64,0.6659999999999999,male,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,2,102,0.0,10.0,13.054830287206268,9.272727272727273,1,senior,102
30533,city_105,0.794,male,no relevent experience,no_enrollment,graduate,humanities,10000+,pvt ltd,>4,26,0.0,5.0,5.592841163310962,4.333333333333333,0,mid,26
28512,city_104,0.924,,has relevent experience,no_enrollment,masters,stem,<10,early stage startup,2,7,0.0,3.0,2.9296875,1.75,1,mid,7
1023,city_114,0.926,male,no relevent experience,full time course,high school,,10000+,pvt ltd,1,43,0.0,4.0,3.898635477582846,8.6,0,mid,43
12253,city_104,0.924,male,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,1,45,0.0,21.0,20.5078125,2.0454545454545454,1,expert,45
25296,city_73,0.754,male,has relevent experience,full time course,graduate,stem,50-99,early stage startup,2,52,0.0,2.0,2.34192037470726,17.333333333333332,1,junior,52
13238,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,,,2,19,0.0,21.0,20.588235294117645,0.8636363636363636,1,expert,19
13478,city_21,0.624,,has relevent experience,full time course,graduate,stem,10/49,funded startup,,32,1.0,2.0,2.7624309392265194,10.666666666666666,1,junior,32
18578,city_162,0.767,male,has relevent experience,no_enrollment,graduate,humanities,100-500,pvt ltd,>4,26,1.0,21.0,24.22145328719723,1.1818181818181819,1,expert,26
29975,city_67,0.855,male,has relevent experience,part time course,graduate,stem,,,1,90,0.0,6.0,6.282722513089006,12.857142857142858,1,senior,90
26516,city_75,0.939,male,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,3,25,0.0,6.0,5.774783445620789,3.5714285714285716,1,senior,25
24690,city_41,0.8270000000000001,,has relevent experience,,masters,stem,<10,,1,15,0.0,13.0,14.023732470334412,1.0714285714285714,1,expert,15
8433,city_100,0.887,male,has relevent experience,no_enrollment,masters,humanities,100-500,pvt ltd,>4,48,0.0,21.0,21.27659574468085,2.1818181818181817,1,expert,48
9572,city_11,0.55,,no relevent experience,full time course,high school,,,,,98,0.0,3.0,4.615384615384615,24.5,0,mid,98
5878,city_93,0.865,male,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,2,142,1.0,10.0,10.362694300518134,12.909090909090908,1,senior,142
25695,city_67,0.855,other,no relevent experience,no_enrollment,masters,humanities,10000+,pvt ltd,4,13,0.0,4.0,4.18848167539267,2.6,0,mid,13
9645,city_16,0.91,male,has relevent experience,no_enrollment,graduate,stem,,,>4,47,0.0,15.0,14.851485148514852,2.9375,1,expert,47
12730,city_16,0.91,female,has relevent experience,no_enrollment,masters,humanities,500-999,public sector,1,28,0.0,14.0,13.861386138613861,1.8666666666666667,1,expert,28
4830,city_90,0.698,,no relevent experience,,,,,pvt ltd,never,228,1.0,2.0,2.5062656641604013,76.0,0,junior,228
20970,city_64,0.6659999999999999,male,has relevent experience,no_enrollment,graduate,stem,,,4,22,0.0,21.0,27.415143603133163,1.0,1,expert,22
17271,city_21,0.624,male,no relevent experience,full time course,graduate,stem,,,never,18,1.0,0.0,0.0,18.0,0,junior,18
12731,city_13,0.8270000000000001,male,has relevent experience,no_enrollment,graduate,stem,10/49,pvt ltd,1,29,0.0,2.0,2.157497303128371,9.666666666666666,1,junior,29
10908,city_67,0.855,male,has relevent experience,no_enrollment,masters,stem,100-500,,1,46,0.0,5.0,5.235602094240838,7.666666666666667,1,mid,46
29117,city_11,0.55,,no relevent experience,full time course,graduate,stem,,,never,12,0.0,0.0,0.0,12.0,0,junior,12
3686,city_103,0.92,,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,2,17,0.0,5.0,4.901960784313726,2.8333333333333335,1,mid,17
22683,city_36,0.893,male,has relevent experience,no_enrollment,masters,stem,50-99,pvt ltd,2,65,0.0,5.0,5.0352467270896275,10.833333333333334,1,mid,65
22134,city_103,0.92,male,no relevent experience,no_enrollment,graduate,humanities,100-500,pvt ltd,1,35,0.0,3.0,2.941176470588235,8.75,0,mid,35
31765,city_67,0.855,male,no relevent experience,full time course,graduate,stem,10000+,pvt ltd,3,14,0.0,9.0,9.424083769633508,1.4,0,senior,14
31449,city_103,0.92,female,has relevent experience,no_enrollment,masters,stem,<10,early stage startup,1,4,0.0,2.0,1.9607843137254901,1.3333333333333333,1,junior,4
5987,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,>4,12,0.0,15.0,14.705882352941176,0.75,1,expert,12
21762,city_160,0.92,male,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,2,108,0.0,21.0,20.588235294117645,4.909090909090909,1,expert,108
22070,city_103,0.92,male,no relevent experience,no_enrollment,graduate,stem,,,1,136,0.0,21.0,20.588235294117645,6.181818181818182,0,expert,136
25413,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,10/49,,1,27,0.0,5.0,4.901960784313726,4.5,1,mid,27
5902,city_20,0.7959999999999999,,has relevent experience,part time course,masters,stem,50-99,funded startup,1,74,0.0,4.0,4.464285714285714,14.8,1,mid,74
28403,city_71,0.884,male,has relevent experience,no_enrollment,graduate,stem,10/49,early stage startup,1,86,0.0,15.0,15.24390243902439,5.375,1,expert,86
30937,city_57,0.866,female,no relevent experience,part time course,graduate,stem,10/49,pvt ltd,2,83,0.0,0.0,0.0,83.0,0,junior,83
28751,city_103,0.92,,no relevent experience,full time course,high school,,,,3,75,0.0,4.0,3.9215686274509802,15.0,0,mid,75
29290,city_152,0.698,male,no relevent experience,full time course,masters,stem,,public sector,2,42,0.0,11.0,13.784461152882207,3.5,0,expert,42
32401,city_103,0.92,female,has relevent experience,no_enrollment,graduate,stem,100-500,,1,332,0.0,6.0,5.88235294117647,47.42857142857143,1,senior,302
19128,city_61,0.913,male,no relevent experience,full time course,graduate,stem,,,,140,0.0,4.0,3.948667324777887,28.0,0,mid,140
29036,city_16,0.91,male,no relevent experience,no_enrollment,high school,,,,never,182,0.0,3.0,2.9702970297029703,45.5,0,mid,182
16869,city_103,0.92,female,no relevent experience,no_enrollment,graduate,humanities,100-500,pvt ltd,1,13,1.0,3.0,2.941176470588235,3.25,0,mid,13
10497,city_19,0.682,,has relevent experience,no_enrollment,graduate,stem,10/49,pvt ltd,2,172,1.0,5.0,6.39386189258312,28.666666666666668,1,mid,172
18099,city_103,0.92,,has relevent experience,no_enrollment,graduate,stem,100-500,ngo,1,48,0.0,10.0,9.803921568627452,4.363636363636363,1,senior,48
12081,city_65,0.802,male,has relevent experience,full time course,graduate,stem,50-99,pvt ltd,1,33,0.0,9.0,9.977827050997782,3.3,1,senior,33
7364,city_160,0.92,,no relevent experience,full time course,high school,,100-500,pvt ltd,1,142,0.0,2.0,1.9607843137254901,47.333333333333336,0,junior,142
11184,city_74,0.579,,no relevent experience,full time course,graduate,stem,100-500,pvt ltd,1,34,0.0,2.0,2.9455081001472756,11.333333333333334,0,junior,34
7016,city_65,0.802,male,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,2,14,1.0,6.0,6.651884700665188,2.0,1,senior,14
8695,city_11,0.55,male,has relevent experience,no_enrollment,graduate,stem,10/49,pvt ltd,2,27,1.0,6.0,9.23076923076923,3.857142857142857,1,senior,27
6172,city_11,0.55,male,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,1,24,1.0,8.0,12.307692307692307,2.6666666666666665,1,senior,24
14672,city_173,0.878,,no relevent experience,no_enrollment,masters,stem,,,1,150,0.0,21.0,21.472392638036812,6.818181818181818,0,expert,150
18257,city_103,0.92,female,has relevent experience,no_enrollment,graduate,stem,500-999,ngo,>4,20,0.0,11.0,10.784313725490195,1.6666666666666667,1,expert,20
24493,city_103,0.92,,has relevent experience,no_enrollment,graduate,stem,500-999,,1,140,0.0,5.0,4.901960784313726,23.333333333333332,1,mid,140
1180,city_16,0.91,male,has relevent experience,no_enrollment,graduate,stem,5000-9999,pvt ltd,1,52,0.0,12.0,11.881188118811881,4.0,1,expert,52
28627,city_75,0.939,male,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,2,160,0.0,21.0,20.211742059672765,7.2727272727272725,1,expert,160
8168,city_136,0.897,male,has relevent experience,no_enrollment,masters,stem,5000-9999,pvt ltd,2,3,0.0,9.0,9.027081243731194,0.3,1,senior,3
10473,city_21,0.624,male,has relevent experience,no_enrollment,graduate,stem,<10,pvt ltd,2,2,1.0,2.0,2.7624309392265194,0.6666666666666666,1,junior,2
25349,city_16,0.91,male,has relevent experience,no_enrollment,graduate,stem,1000-4999,pvt ltd,>4,28,0.0,21.0,20.792079207920793,1.2727272727272727,1,expert,28
5220,city_73,0.754,male,has relevent experience,no_enrollment,graduate,other,,,4,46,0.0,21.0,24.59016393442623,2.090909090909091,1,expert,46
4789,city_67,0.855,male,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,1,210,0.0,8.0,8.37696335078534,23.333333333333332,1,senior,210
11338,city_114,0.926,male,has relevent experience,no_enrollment,graduate,stem,<10,pvt ltd,1,36,0.0,10.0,9.746588693957115,3.272727272727273,1,senior,36
27963,city_98,0.949,male,no relevent experience,full time course,graduate,stem,,,1,160,1.0,4.0,3.813155386081983,32.0,0,mid,160
8571,city_21,0.624,male,has relevent experience,full time course,graduate,stem,10/49,ngo,2,101,0.0,2.0,2.7624309392265194,33.666666666666664,1,junior,101
16303,city_114,0.926,male,has relevent experience,no_enrollment,masters,stem,50-99,,1,46,0.0,6.0,5.847953216374269,6.571428571428571,1,senior,46
20576,city_97,0.925,male,has relevent experience,no_enrollment,graduate,stem,1000-4999,pvt ltd,>4,19,0.0,21.0,20.487804878048777,0.8636363636363636,1,expert,19
32966,city_21,0.624,male,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,2,26,1.0,3.0,4.143646408839779,6.5,1,mid,26
21199,city_90,0.698,,has relevent experience,full time course,graduate,stem,<10,ngo,1,90,0.0,7.0,8.771929824561404,11.25,1,senior,90
18819,city_50,0.8959999999999999,male,has relevent experience,no_enrollment,graduate,stem,<10,pvt ltd,4,59,0.0,9.0,9.036144578313253,5.9,1,senior,59
14199,city_160,0.92,male,has relevent experience,part time course,graduate,business degree,50-99,funded startup,1,260,0.0,10.0,9.803921568627452,23.636363636363637,1,senior,260
7666,city_21,0.624,female,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,>4,74,0.0,11.0,15.193370165745856,6.166666666666667,1,expert,74
13915,city_16,0.91,male,has relevent experience,no_enrollment,phd,stem,100-500,pvt ltd,2,20,1.0,21.0,20.792079207920793,0.9090909090909091,1,expert,20
10555,city_173,0.878,male,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,2,8,0.0,12.0,12.269938650306749,0.6153846153846154,1,expert,8
16040,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,1,131,0.0,6.0,5.88235294117647,18.714285714285715,1,senior,131
32826,city_138,0.836,male,has relevent experience,full time course,masters,stem,,,1,45,0.0,7.0,7.478632478632479,5.625,1,senior,45
13253,city_82,0.693,male,has relevent experience,full time course,graduate,stem,10/49,pvt ltd,2,109,0.0,11.0,13.871374527112234,9.083333333333334,1,expert,109
15637,city_67,0.855,male,has relevent experience,no_enrollment,graduate,humanities,100-500,pvt ltd,1,70,0.0,3.0,3.141361256544503,17.5,1,mid,70
28074,city_103,0.92,female,has relevent experience,no_enrollment,graduate,stem,100-500,ngo,>4,17,0.0,21.0,20.588235294117645,0.7727272727272727,1,expert,17
23012,city_103,0.92,female,no relevent experience,no_enrollment,masters,stem,50-99,pvt ltd,1,51,0.0,15.0,14.705882352941176,3.1875,0,expert,51
16110,city_103,0.92,female,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,3,60,1.0,6.0,5.88235294117647,8.571428571428571,1,senior,60
3921,city_36,0.893,,no relevent experience,no_enrollment,phd,stem,1000-4999,public sector,>4,4,0.0,21.0,21.148036253776436,0.18181818181818182,0,expert,4
24530,city_114,0.926,male,no relevent experience,no_enrollment,graduate,stem,100-500,pvt ltd,>4,7,0.0,12.0,11.695906432748538,0.5384615384615384,0,expert,7
1924,city_102,0.804,,has relevent experience,no_enrollment,masters,stem,100-500,pvt ltd,3,164,0.0,21.0,23.23008849557522,7.454545454545454,1,expert,164
32776,city_64,0.6659999999999999,male,has relevent experience,no_enrollment,graduate,stem,,,4,290,0.0,20.0,26.109660574412537,13.80952380952381,1,expert,290
1907,city_102,0.804,male,no relevent experience,no_enrollment,high school,,<10,ngo,never,145,0.0,2.0,2.2123893805309733,48.333333333333336,0,junior,145
23947,city_103,0.92,,no relevent experience,no_enrollment,phd,stem,,,,70,0.0,,,,0,unknown,70
3116,city_21,0.624,male,no relevent experience,no_enrollment,,,,,1,24,0.0,3.0,4.143646408839779,6.0,0,mid,24
24829,city_103,0.92,male,no relevent experience,no_enrollment,masters,humanities,10000+,pvt ltd,1,133,1.0,3.0,2.941176470588235,33.25,0,mid,133
30488,city_11,0.55,,no relevent experience,full time course,graduate,stem,,,1,20,0.0,2.0,3.0769230769230766,6.666666666666667,0,junior,20
1265,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,<10,funded startup,1,76,0.0,10.0,9.803921568627452,6.909090909090909,1,senior,76
22098,city_90,0.698,female,no relevent experience,full time course,masters,stem,,,4,21,1.0,5.0,6.265664160401003,3.5,0,mid,21
13342,city_21,0.624,female,has relevent experience,no_enrollment,graduate,other,5000-9999,pvt ltd,2,34,0.0,8.0,11.049723756906078,3.7777777777777777,1,senior,34
24608,city_160,0.92,male,no relevent experience,no_enrollment,graduate,stem,<10,pvt ltd,2,15,0.0,9.0,8.823529411764707,1.5,0,senior,15
20081,city_57,0.866,male,no relevent experience,no_enrollment,graduate,stem,,,>4,156,0.0,21.0,21.73913043478261,7.090909090909091,0,expert,156
24796,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,5000-9999,pvt ltd,>4,15,0.0,21.0,20.588235294117645,0.6818181818181818,1,expert,15
7777,city_114,0.926,,has relevent experience,no_enrollment,masters,stem,,,never,120,0.0,21.0,20.46783625730994,5.454545454545454,1,expert,120
22718,city_157,0.769,,has relevent experience,no_enrollment,graduate,no major,10000+,,>4,47,0.0,14.0,16.110471806674337,3.1333333333333333,1,expert,47
1261,city_73,0.754,male,has relevent experience,no_enrollment,graduate,stem,,,2,100,1.0,12.0,14.05152224824356,7.6923076923076925,1,expert,100
3396,city_67,0.855,male,has relevent experience,part time course,graduate,stem,500-999,pvt ltd,never,102,0.0,6.0,6.282722513089006,14.571428571428571,1,senior,102
4283,city_103,0.92,male,no relevent experience,no_enrollment,high school,,,,never,52,0.0,4.0,3.9215686274509802,10.4,0,mid,52
18998,city_114,0.926,,has relevent experience,no_enrollment,high school,,10/49,,4,39,0.0,9.0,8.771929824561404,3.9,1,senior,39
2003,city_103,0.92,male,has relevent experience,full time course,high school,,,,1,112,1.0,4.0,3.9215686274509802,22.4,1,mid,112
31786,city_103,0.92,male,no relevent experience,no_enrollment,phd,stem,50-99,pvt ltd,>4,14,0.0,21.0,20.588235294117645,0.6363636363636364,0,expert,14
8241,city_16,0.91,,has relevent experience,no_enrollment,,,,,1,4,0.0,11.0,10.891089108910892,0.3333333333333333,1,expert,4
12154,city_16,0.91,,has relevent experience,no_enrollment,masters,arts,1000-4999,ngo,>4,55,0.0,21.0,20.792079207920793,2.5,1,expert,55
23455,city_21,0.624,male,has relevent experience,no_enrollment,graduate,stem,10000+,pvt ltd,4,49,1.0,6.0,8.287292817679559,7.0,1,senior,49
19882,city_16,0.91,male,has relevent experience,no_enrollment,graduate,stem,,,>4,72,0.0,15.0,14.851485148514852,4.5,1,expert,72
28817,city_89,0.925,male,has relevent experience,full time course,graduate,stem,5000-9999,pvt ltd,3,141,1.0,14.0,13.658536585365852,9.4,1,expert,141
4656,city_114,0.926,male,no relevent experience,no_enrollment,high school,,,pvt ltd,never,28,0.0,6.0,5.847953216374269,4.0,0,senior,28
7280,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,10000+,pvt ltd,1,6,0.0,13.0,12.745098039215685,0.42857142857142855,1,expert,6
16903,city_103,0.92,male,has relevent experience,no_enrollment,graduate,no major,5000-9999,pvt ltd,1,125,0.0,17.0,16.666666666666668,6.944444444444445,1,expert,125
13333,city_75,0.939,,has relevent experience,no_enrollment,graduate,stem,,,never,326,0.0,21.0,20.211742059672765,14.818181818181818,1,expert,302
26241,city_103,0.92,male,has relevent experience,no_enrollment,graduate,other,100-500,pvt ltd,2,33,0.0,21.0,20.588235294117645,1.5,1,expert,33
12381,city_102,0.804,,no relevent experience,no_enrollment,masters,stem,10000+,pvt ltd,>4,40,0.0,6.0,6.6371681415929205,5.714285714285714,0,senior,40
4064,city_160,0.92,,has relevent experience,no_enrollment,graduate,stem,,,1,198,1.0,18.0,17.647058823529413,10.421052631578947,1,expert,198
32092,city_103,0.92,female,has relevent experience,no_enrollment,masters,stem,10000+,pvt ltd,>4,55,0.0,15.0,14.705882352941176,3.4375,1,expert,55
3766,city_150,0.698,male,no relevent experience,no_enrollment,graduate,stem,500-999,pvt ltd,>4,32,0.0,21.0,26.315789473684212,1.4545454545454546,0,expert,32
30496,city_103,0.92,male,has relevent experience,no_enrollment,graduate,arts,100-500,pvt ltd,>4,11,0.0,21.0,20.588235294117645,0.5,1,expert,11
7189,city_73,0.754,male,has relevent experience,no_enrollment,graduate,stem,<10,pvt ltd,1,41,0.0,21.0,24.59016393442623,1.8636363636363635,1,expert,41
29497,city_103,0.92,male,has relevent experience,no_enrollment,masters,stem,10000+,public sector,>4,87,1.0,21.0,20.588235294117645,3.9545454545454546,1,expert,87
31593,city_67,0.855,male,has relevent experience,no_enrollment,masters,stem,100-500,pvt ltd,4,114,0.0,10.0,10.471204188481677,10.363636363636363,1,senior,114
12384,city_70,0.698,,has relevent experience,,,,,,>4,33,0.0,21.0,26.315789473684212,1.5,1,expert,33
11986,city_90,0.698,male,has relevent experience,part time course,masters,stem,<10,early stage startup,1,15,0.0,5.0,6.265664160401003,2.5,1,mid,15
31033,city_16,0.91,,no relevent experience,full time course,high school,,,,1,8,0.0,3.0,2.9702970297029703,2.0,0,mid,8
14835,city_173,0.878,female,has relevent experience,part time course,high school,,100-500,ngo,1,22,0.0,2.0,2.044989775051125,7.333333333333333,1,junior,22
3728,city_103,0.92,male,has relevent experience,no_enrollment,masters,stem,5000-9999,pvt ltd,4,13,0.0,21.0,20.588235294117645,0.5909090909090909,1,expert,13
3024,city_98,0.949,male,has relevent experience,no_enrollment,graduate,stem,<10,public sector,1,246,0.0,21.0,20.01906577693041,11.181818181818182,1,expert,246
23508,city_103,0.92,male,has relevent experience,no_enrollment,masters,stem,10/49,pvt ltd,1,22,0.0,9.0,8.823529411764707,2.2,1,senior,22
29457,city_103,0.92,male,has relevent experience,no_enrollment,masters,stem,<10,funded startup,1,81,0.0,21.0,20.588235294117645,3.6818181818181817,1,expert,81
12297,city_175,0.7759999999999999,,has relevent experience,full time course,graduate,stem,10/49,funded startup,1,11,0.0,4.0,4.566210045662101,2.2,1,mid,11
27708,city_94,0.698,male,no relevent experience,full time course,graduate,stem,5000-9999,,,24,1.0,5.0,6.265664160401003,4.0,0,mid,24
3065,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,100-500,funded startup,1,50,0.0,21.0,20.588235294117645,2.272727272727273,1,expert,50
29226,city_104,0.924,male,no relevent experience,full time course,high school,,,,never,15,0.0,6.0,5.859375,2.142857142857143,0,senior,15
5493,city_28,0.939,male,has relevent experience,no_enrollment,masters,stem,10/49,pvt ltd,>4,31,0.0,21.0,20.211742059672765,1.4090909090909092,1,expert,31
2891,city_114,0.926,male,has relevent experience,no_enrollment,masters,stem,50-99,pvt ltd,never,84,0.0,21.0,20.46783625730994,3.8181818181818183,1,expert,84
